5764,2736,2328468911
7987,99,105064935
20770,99,104331315
38814,99,34768068
15327,99,130399973
10639,99,122920350
11639,99,33071221
14027,99,112148579
25432,99,24229477
13562,99,34927881
14674,99,24525351
8043,99,106246051
3594,99,141183543
17069,99,26132165
1204,99,200000000
23076,99,40607633
4271,99,107084697
8698,99,40320190
25404,99,46021567
14077,120,110380376
8809,99,77978241
4575,99,54124332
18468,99,25342567
3769,99,75836088
3075,99,178469314
15109,120,139704815
12168,99,32650182
4884,120,200000000
-1,-1
-1,-1
24011,3866811
-1,-1
5267,924
25187,1965
14009,2081
16150,2012
34925,2002
-1,-1
-1,-1
21838,1258
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
76404,39
-1,-1
-1,-1
3097,17305
64178,4
38314,7
31431,105
29977,84
26269,9
